run,seed,val_MSE,val_RMSE,val_MAE,epochs,time
135,156,346.3170809669296,18.609596475123517,16.771915999348963,10,3.915238857269287
136,39,1259.8127592956805,35.49384114597461,32.32047332899306,10,3.920192003250122
137,166,16017.188293204694,126.55903086388065,125.34548923068576,10,4.031070947647095
138,1694,16254.764517643223,127.49417444590644,125.2175006781684,10,4.068232774734497
139,134,7333.117060612475,85.63362108782084,83.71054375542535,10,3.9864442348480225
140,36,18394.616501584682,135.62675437237553,133.84832573784723,10,3.967329740524292
141,1742,61122.63235026214,247.22991799186065,245.9496177842882,10,4.07745885848999
142,327,22719.942431311185,150.731358486916,149.0876624891493,10,4.024744987487793
143,441,7305.619980335037,85.47291957301469,79.98326185980902,10,3.989609956741333
144,2077,18819.998223390263,137.1859986419542,135.26960137261284,10,3.9698150157928467
145,138,4488.456463897667,66.99594363763875,63.040752495659724,10,3.9230971336364746
146,97,11406.926507835587,106.80321393963567,104.63858357747395,10,3.944035053253174
147,2580,61045.347448507004,247.0735668753479,245.79245225694444,10,4.026182174682617
148,250,2000.1437158380097,44.72296631304781,40.771857416449656,10,4.359208822250366
149,331,642.2934774274058,25.343509572026637,20.07662457682292,10,3.9750096797943115
150,300,7067.625112295363,84.06916861903277,82.49184895833334,10,3.923590898513794
151,3157,2400.1754734228407,48.99158574105191,43.48304740668402,10,4.204746961593628
152,109,6427.487464545664,80.1716125854137,78.22974134657117,10,3.9029619693756104
153,69,24419.557903906774,156.26758430303698,154.6209632703993,10,3.9538228511810303
154,6795,16922.807362023454,130.0876910473218,128.83890530056425,10,4.035237789154053
155,65,1409.0738253219545,37.53763212193804,33.32159497612847,10,4.042070150375366
156,14,629.8639646901416,25.097090761483525,21.96498797200521,10,3.9237277507781982
157,180,24565.163698592336,156.73277799679408,154.5064781358507,10,3.9206249713897705
158,2113,1451.3711605397305,38.09686549494237,36.17217746310764,10,6.6272289752960205
159,228,8246.458859245573,90.81001519240911,88.26913953993055,10,4.133293867111206
160,103,3650.3481320562955,60.418110960673836,58.864298502604164,10,3.945953845977783
161,502,9370.912695629098,96.80347460514575,93.29690538194444,10,3.9007019996643066
162,196,20541.832139841492,143.32422035316114,141.89214965820312,10,3.9545810222625732
163,596,17435.123367104203,132.04212724393759,130.7086027018229,10,4.172286033630371
164,165,6352.974537418852,79.70554897507985,77.8935777452257,10,4.235810995101929
165,336,1620.4266164473195,40.25452293155789,35.54294988064237,10,4.202916860580444
166,532,333.9666570754454,18.274754637899942,14.210365294053817,10,4.316707134246826
167,147,4358.278978467643,66.01726273080128,64.24931274414062,10,4.063423156738281
168,205,13544.945474430177,116.38275419678887,114.09382351345486,10,4.588040351867676
169,2326,54881.157229098906,234.26727733317537,232.99555270724827,10,4.44190526008606
170,243,5209.928721881324,72.17983597848726,68.70342542860243,10,4.061764240264893
171,308,1107.323675333744,33.2764733007232,29.507512776692714,10,4.12718391418457
172,995,2528.7787234343455,50.286963752391586,48.99647352430556,10,4.109783172607422
173,17,4641.851550275818,68.13113495514234,66.94158650716146,10,3.973676919937134
174,136,10351.281601192975,101.74124827813435,98.50701931423612,10,4.045323848724365
175,670,4185.320422090169,64.69405244757951,62.903201497395834,10,3.965517997741699
176,222,5404.378531959435,73.5144783832371,72.23082736545139,10,4.504033088684082
177,90,3548.623963590693,59.57032787882482,56.365131564670136,10,3.941575765609741
178,202,4852.258788501355,69.65815665448918,67.53060831705729,10,4.542016983032227
179,125,739.8734623849817,27.200615110415825,21.86801567925347,10,4.077816724777222
180,752,18338.08101063596,135.41817090271144,133.73112616644966,10,4.168111085891724
181,372,573.8148030485102,23.954431803916997,21.256705083550347,10,4.400477170944214
182,652,60959.19930318635,246.89916829180765,245.61714402940538,10,4.072732210159302
183,3186,5331.401811787099,73.01644891246833,68.34022501627604,10,4.054292917251587
184,378,7059.334338271649,84.0198449074482,82.9745235188802,10,3.9977731704711914
185,155,7397.4691995151215,86.00854143348276,82.19080023871528,10,3.913957118988037
186,71,17232.90980189189,131.2741779707338,129.47453382703992,10,3.995854139328003
187,1805,5960.385404264532,77.20353233022782,75.08174560546875,10,3.940410852432251
188,228,19356.39609281879,139.12726581378215,137.72033786349826,10,3.9687180519104004
189,176,2537.0824968561396,50.36945996192673,46.86178727213542,10,3.885986804962158
190,4802,60140.14635416925,245.23487997054835,243.94410936143663,10,3.9308459758758545
191,137,8716.246313000694,93.36083929036143,91.33598510742188,10,3.9454729557037354
192,116,59822.58321435877,244.58655566968264,243.292345445421,10,3.98522686958313
193,36553,19805.255522206906,140.73114624064888,138.9974860297309,10,3.9082770347595215
194,124,5138.233089992975,71.68146964169314,68.8241197374132,10,3.990726947784424
195,116,60175.58039981123,245.30711445005267,244.01672593858507,10,3.9738001823425293
196,103244,1531.7135526405282,39.13711221641842,35.635310601128474,10,3.982522964477539
197,87,7993.460820833573,89.40615650408854,87.25196885850694,10,7.219794034957886
198,119,1189.361717811268,34.48712394229574,31.342554215494797,10,4.187358379364014
199,3238,7681.77445644152,87.64573267673401,87.00338541666666,10,3.924837112426758
200,44,2607.4713119685302,51.063404821540544,49.07241590711806,10,3.963890790939331
